window_id,label_es,label_en,starts,ends,max_matches,announcement_date,announcement_status,matches_note,source
2026-wc,Copa del Mundo 2026,2026 World Cup,2026-06-11,2026-07-19,7,2026-05-28,official,Lista de 26 anunciada el 28 de mayo de 2026,afa.com.ar
2026-09,Fecha FIFA septiembre-octubre 2026,September-October 2026 window,2026-09-21,2026-10-06,4,2026-09-14,expected,Amistosos en Argentina por confirmar (AFA anuncia rivales el 7 de septiembre),elintransigente.com 2026-09
2026-11,Fecha FIFA noviembre 2026,November 2026 window,2026-11-09,2026-11-17,2,2026-11-02,expected,Rivales por confirmar,mundoalbiceleste.com 2026-07-23
